team,name,display-name,image-url,role
Barcelona,Jules Koundé,Koundé,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250096309.jpg,outfield
Barcelona,Eric García,Eric,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250103561.jpg,outfield
Barcelona,Jofre Torrents,Torrents,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250184353.jpg,outfield
Barcelona,Alexis Olmedo,Olmedo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250171673.jpg,outfield
Barcelona,Landry Farré,Farré,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250191898.jpg,outfield
Barcelona,Alvaro Cortes,Cortes,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250190379.jpg,outfield
Barcelona,Gavi,Gavi,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250139255.jpg,outfield
Barcelona,Pedri,Pedri,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250143693.jpg,outfield
Barcelona,Frenkie de Jong,De Jong,https://img.uefa.com/imgml/TP/players/1/2026/324x324/50327423.jpg,outfield
Barcelona,Marc Bernal,Bernal,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250190383.jpg,outfield
Barcelona,Guille Fernández,Guille,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250190375.jpg,outfield
Barcelona,Dani Rodríguez,Rodríguez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250172344.jpg,outfield
Barcelona,Xavi Espart,Espart,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250190377.jpg,outfield
Barcelona,Tomas Marques,Marques,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250192617.jpg,outfield
Barcelona,Ferran Torres,Ferran,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250088320.jpg,outfield
Barcelona,Robert Lewandowski,Lewandowski,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250002096.jpg,outfield
Barcelona,Lamine Yamal,Yamal,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176450.jpg,outfield
Barcelona,Raphinha,Raphinha,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250112880.jpg,outfield
Barcelona,Marcus Rashford,Rashford,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250088246.jpg,outfield
Barcelona,Fermín López,Fermin,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164780.jpg,outfield
Barcelona,Dani Olmo,Olmo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250081720.jpg,outfield
Barcelona,Roony Bardghji,Roony,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250165617.jpg,outfield
Barcelona,Toni Fernandez,Toni,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250192269.jpg,outfield
Barcelona,Juan Hernández,Juan,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250184344.jpg,outfield
Real Madrid,Thibaut Courtois,Courtois,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250011668.jpg,goalkeeper
Real Madrid,Andriy Lunin,Lunin,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250089824.jpg,goalkeeper
Real Madrid,Fran González,González,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176532.jpg,goalkeeper
Real Madrid,Javier Navarro,Navarro,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250201421.jpg,goalkeeper
Real Madrid,Dani Carvajal,Carvajal,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250024448.jpg,outfield
Real Madrid,Éder Militão,Militão,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250121965.jpg,outfield
Real Madrid,David Alaba,Alaba,https://img.uefa.com/imgml/TP/players/1/2026/324x324/1906540.jpg,outfield
Real Madrid,Trent Alexander-Arnold,Trent,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250076357.jpg,outfield
Real Madrid,Raúl Asencio,Asencio,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250153617.jpg,outfield
Real Madrid,Álvaro Carreras,Carreras,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250153945.jpg,outfield
Real Madrid,Fran García,Fran García,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250091175.jpg,outfield
